2026-02-05T23:21:10.260257+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/parallel/AYL-00004.bin
2026-02-05T23:22:38.346073+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/parallel/AYL-00002.bin
2026-02-05T23:25:50.270969+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/parallel/AYL-00008.bin
2026-02-05T23:30:59.290484+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/parallel/AYL-00009.bin
2026-02-05T23:34:11.186706+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/parallel/AYL-00003.bin
2026-02-05T23:36:59.541164+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/parallel/AYL-00000.bin
2026-02-05T23:40:11.469107+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/parallel/AYL-00006.bin
2026-02-05T23:43:23.451104+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/parallel/AYL-00005.bin
2026-02-05T23:46:11.826874+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/parallel/AYL-00007.bin
2026-02-05T23:49:00.213201+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/parallel/AYL-00001.bin
2026-02-05T23:52:12.166891+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/braided/AYL-00004.bin
2026-02-05T23:55:24.167006+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/braided/AYL-00002.bin
2026-02-05T23:58:12.514754+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/braided/AYL-00008.bin
2026-02-06T00:01:24.487845+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/braided/AYL-00009.bin
2026-02-06T00:04:36.449679+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/braided/AYL-00003.bin
2026-02-06T00:07:24.829385+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/braided/AYL-00000.bin
2026-02-06T00:10:13.161489+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/braided/AYL-00006.bin
2026-02-06T00:13:25.150777+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/braided/AYL-00005.bin
2026-02-06T00:16:37.107136+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/braided/AYL-00007.bin
2026-02-06T00:19:25.481271+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/braided/AYL-00001.bin
2026-02-06T00:22:37.461523+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-river/crossed/AYL-00004.bin
